TEXT	TRANSLATION
"16 bit unsigned integer"	"16 bit Ganzzahl ohne Vorzeichen"
"1st Lines Layer"	""
"1st Order Polynomial"	""
"1st Std. Parallel"	""
"2"	""
"2 byte integer"	"2 Byte Ganzzahl"
"2 byte signed"	""
"2 byte unsigned"	""
"2-dimensional (planar)"	""
"2-fold"	""
"200-400 mm/day"	""
"2nd Field"	""
"2nd Lines Layer"	""
"2nd Order Polynomial"	""
"2nd Sorting Order"	""
"2nd Std. Parallel"	""
"3"	""
"3 arc-second"	"3 Bogensekunden"
"3-dimensional"	""
"32 bit floating point"	"32 bit Fließkommazahl"
"32 bit signed integer"	"32 bit Ganzzahl mit Vorzeichen"
"32 bit unsigned integer"	"32 bit Ganzzahl ohne Vorzeichen"
"3306"	""
"3D Image"	"3D Bild"
"3D Image Height"	"3D Bild Höhe"
"3D Image Width"	"3D Bild Breite"
"3D Points Selection"	""
"3D Scatterplot Viewer"	""
"3D Shapes Viewer"	""
"3D View"	"3D Ansicht"
"3D View Sequencer"	""
"3D View Usage"	""
"3D Viewer"	""
"3D Viewer."	""
"3D-View"	"3D-Blick"
"3rd Field"	""
"3rd Order Polynomial"	""
"3rd Sorting Order"	""
"3x3 Kernel"	""
"4 (von Neumann)"	""
"4 byte float"	"4 byte Fließkommazahl"
"4 byte floating point"	"4 Byte Fließkommazahl"
"4 byte floating point number"	""
"4 byte integer"	"4 Byte Ganzzahl"
"4 byte signed"	""
"4 byte unsigned"	""
"50-100 mm/day"	""
"6"	""
"6 parameter 2nd order polynom (Bauer, Rohdenburg, Bork 1985)"	""
"6 parameter 2nd order polynom (Evans 1979)"	""
"6 parameter 2nd order polynom (Heerdegen & Beran 1982)"	""
"64 bit floating point"	"64 bit Fließkommazahl"
"7"	""
"8"	""
"8 (Moore)"	""
"8 bit"	""
"8 bit unsigned integer"	"8 bit Ganzzahl ohne Vorzeichen"
"8 byte float"	"8 byte Fließkommazahl"
"8 byte floating point number"	""
"9 parameter 2nd order polynom (Zevenbergen & Thorne 1987)"	""
"<all grid systems>"	"<alle Rastersysteme>"
"<create>"	"<erzeuge>"
"<default>"	"<Voreinstellung>"
"<new>"	""
"<no attributes>"	""
"<no choice available>"	"<keine Auswahlmöglichkeit>"
"<no items>"	""
"<none>"	""
"<not set>"	""
">400 mm/day"	""
"?"	""
"A"	"A"
"A SAGA tool to create transects through polygon files."	""
"A Simple Litter System"	"Ein einfaches Lebensdauersystem"
"A comprehensive phenology model of Ips typographus (L.) (Col., Scolytinae) as a tool for hazard rating of bark beetle infestation."	""
"A grid encoding the aspect of each cell [radians]."	""
"A grid providing information about the channel network. It is assumed that no-data cells are not part of the channel network. Vice versa all others cells are recognised as channel network members."	""
"A grid that contains elevation data."	"Eine Rasterdatei die Höhendaten enthält."
"A point shapefile with the target point."	""
"A reference list of the grid values that have been assigned to the training classes."	""
"A set of basic SAGA tool programming examples."	""
"A space separated list of key-value pairs (K=V)."	""
"A text file with the full path to an input grid on each line"	""
"A text file with the full path to an input grid on each line."	""
"A text file with the full path to an input point cloud on each line"	""
"A threshold between 0 and 1 used to save computational time. Set this parameter to 0 to turn off this functionality."	""
"A3 Landscape"	""
"A3 Portrait"	""
"A4 Landscape"	""
"A4 Portrait"	""
"A:3D Data|Select Points"	""
"A:File|Satellite Imagery"	""
"A:Garden|Imagery"	""
"A:Grid Collection|Calculus"	""
"A:Grid Collection|Gaps"	""
"A:Grid Collection|Grid System"	""
"A:Grid|Analysis|Macroecology"	""
"A:Grid|Calculus"	""
"A:Grid|Distances"	""
"A:Grid|Filter"	""
"A:Grid|Gaps"	""
"A:Grid|Grid System"	""
"A:Grid|Gridding|Interpolation (3D)"	""
"A:Grid|Tools"	""
"A:Grid|Values"	""
"A:Imagery|Analysis"	""
"A:Imagery|Classification"	"A:Bildverarbeitung|Klassifizierung"
"A:Imagery|Classification|Machine Learning"	""
"A:Imagery|Feature Extraction"	""
"A:Imagery|Fourier Analysis"	""
"A:Imagery|Segmentation"	""
"A:Imagery|Tools"	""
"A:Shapes|Construction"	"A:Vektoren|Konstruktion"
"A:Shapes|Conversion"	"A:Vektoren|Umwandlung"
"A:Shapes|Selection"	"A:Vektoren|Auswahl"
"A:Shapes|Tools"	"A:Vektoren|Werkzeuge"
"A:Simulation|Hillslope Evolution"	""
"A:Simulation|Hydrology"	""
"A:Simulation|Soil Hydrology"	""
"A:Spatial and Geostatistics|Geographically Weighted Regression"	""
"A:Spatial and Geostatistics|Points"	"A:Raum und Geostatistik|Punkte"
"A:Table|Construction"	"A:Tabelle|Konstruktion"
"A:Table|Selection"	"Tabelle|Auswahl"
"A:Table|Tools"	"Tabelle|Werkzeuge"
"A:Terrain Analysis|Climate and Weather"	"A:Reliefanalyse|Klima und Wetter"
"A:Terrain Analysis|Hydrology|Flow Accumulation|Alternatives"	""
"A:Terrain Analysis|Preprocessing"	""
"A:Terrain Analysis|Terrain Classification"	"A:Reliefanalyse|Geländeklassifikation"
"A:Visualization|Shapes"	""
"A:timed_flow_accumulation"	""
"ADDR"	""
"AFAC("	""
"AFAC()"	""
"ANGMAP"	""
"AOI"	""
"AOI Input Settings"	""
"AOI does not intersect bounding box of SPCVF, nothing to do!"	""
"AOI does not intersect with any bounding box of the SPCVF datasets, nothing to do!"	""
"AOI does not intersect with any point of the SPCVF datasets, nothing to do!"	""
"API Key"	""
"AQ("	""
"AREA"	"FLÄCHE"
"AS("	""
"ASCII"	""
"ASCII Decimal Separator"	"ASCII Dezimaltrenner"
"ASCII Grid Options"	"ASCII Rasteroptionen"
"ASCII Precision"	"ASCII Genauigkeit"
"ASCII file with columns degree, order, c_lm, s_lm (separated by space)"	""
"ASPECT_1"	""
"ASPECT_2"	""
"ASPECT_3"	""
"ASTER Homepage Jet Propulsion Laboratory"	""
"ASTER Overview at NASA/USGS"	""
"AWM1 Grid"	""
"AWM2 Grid"	""
"AWT Grid"	"AWT Raster"
"Abflussmanipulation Rasterzelle 1... "	""
"Abflussmanipulation Rasterzelle 2... "	""
"About SAGA"	"Über SAGA"
"Above Elevation"	"Über Anhebung"
"Above this threshold snow will start to melt"	"Über diesem Schwellenwert beginnt Schnee zu schmelzen"
"Absolute"	"Absolut"
"Absolute Area"	"Absolute Fläche"
"Absolute Height"	"Absolute Höhe"
"Absolute Value"	""
"Absolute Weighting"	""
"Abstract"	""
"Acc. Area"	"abgeschätzte Fläche"
"Acceleration"	"Beschleunigung"
"Access"	""
"Access Mode"	""
"Access violation!"	""
"Accessing PostgreSQL databases."	""
"Accumulated Cost"	"Akkumulierte Kosten"
"Accumulated Cost Surface"	""
"Accumulated Material"	""
"Accumulated Material (Left Side)"	""
"Accumulated Material (Right Side)"	""
"Accumulated cost"	"Akkumulierte Kosten"
"Accumulation Functions"	""
"Accumulation Target"	""
"Accumulator Resolution"	""
"Accuracy"	""
"Activate Grid File Cache?"	""
"Activate file caching automatically, if memory size exceeds the threshold value."	"Dateipuffer für Raster automatisch aktivieren, wenn Speicherbedarf Schwellenwert überschreitet."
"Activate output creation either for edges grid, edge lines, or both."	""
"Activate output creation either for segments grid, polygons, or both."	""
"Activation Function"	""
"Activation function"	""
"Active Variable Count"	""
"Add"	""
"Add All"	""
"Add All Fields"	""
"Add Attribute to Clipped Points"	"Füge Attribute zu ausgeschnittenen Punkten hinzu"
"Add Base Map"	""
"Add Border"	"Füge Grenze hinzu"
"Add Cells"	"Füge Zellen hinzu"
"Add Center Point"	""
"Add Coordinates to Points"	""
"Add Field"	"Feld hinzufügen"
"Add Field to Formula"	""
"Add Frame"	"Füge Rahmen hinzu"
"Add Graticule"	""
"Add Grid Values to Points"	"Weise Rasterwerte Punkten zu"
"Add Grid Values to Shapes"	"Füge Rasterwerte in Vektor ein"
"Add Indicator Fields for Categories"	""
"Add Input Identifier"	""
"Add Layer to Map"	""
"Add Link to Files"	"Erzeuge Verknüpfung zu Dateien"
"Add Location Info"	""
"Add Multiple Locations"	""
"Add Overlap"	""
"Add Part"	""
"Add Part and Point Index"	""
"Add Point Attributes to Polygons"	""
"Add Point Order"	""
"Add Polygon Attributes to Points"	"Füge Polygonattribute Punkten hinzu"
"Add Position"	""
"Add Project"	""
"Add Record"	""
"Add Sample"	""
"Add Shape"	""
"Add Source Information"	""
"Add Statistics for Grids"	""
"Add Volumes Below Base Level"	"Füge Volumnia unter Ausgangsniveau hinzu"
"Add a Grid to a Grid Collection"	""
"Add an entry for all recognized files."	""
"Add layer to selected map"	"Füge Ebene zu ausgewählter Karte hinzu"
"Add location information from points (x,y,(z,m))"	""
"Add multiple light source or observer positions."	""
"Add overlap to AOI"	""
"Add point order as additional attribute."	""
"Add to Map"	""
"Add to Table"	""
"Add vertex"	""
"Add/remove clicked shape to current selection"	""
"Added"	""
"Addition"	"Addierung"
"Additional Information"	""
"Additional Output"	""
"Additional Values"	"Zusätzliche Werte"
"Additional grids used to delineate the UCUs [NoData;categorical values]."	""
"Additional values to be collected along profile."	""
"Additional values to be collected."	""
"Address Field"	""
"Address List"	""
"Adds a field with an identifier for the input point cloud a point originates from."	""
"Adds a field with the name of the original input data set."	""
"Adjust"	"Einstellen"
"Adjust Histogram Stretch to Map Extent"	""
"Adjust Regolith"	""
"Adjust parameters manually"	""
"Adjust to Full Range"	""
"Adjusted Air Pressure"	""
"Adjusted Determination Coefficient"	""
"Adjusted Grid"	""
"Adjustment"	""
"Adjustments"	""
"Advanced"	""
"Aerosol Optical Thickness"	""
"Aerosol Resistance Coefficient (Blue)"	""
"Aerosol Resistance Coefficient (Red)"	""
"Aerosol, Vapour, Cirrus"	""
"Aerosols"	""
"Affine"	""
"Aggregate"	"Anhäufung"
"Aggregate Point Observations"	""
"Aggregate Values by Attributes"	""
"Aggregate by Field(s)"	""
"Aggregated"	""
"Aggregated Grid"	""
"Aggregation"	"Vereinigung"
"Aggregation Index"	"Zusammenführungsindex"
"Aggregation Size"	"Anhäufung Größe"
"Agricultural area"	""
"Air Capacity"	""
"Air Flow Simulations"	""
"Air Humidity Conversions"	""
"Air Humidity [2pm [%]"	""
"Air Pressure"	""
"Air Pressure Adjustment"	""
"Air Pressure Elevation"	""
"Air Pressure, Water and Dust Content"	"Luftdruck, Wasser und Staub Inhalt"
"Air Temperature Sum"	""
"Albedo"	""
"Albers Equal Area Conic"	""
"Alessandro Perego"	""
"Algorithm"	""
"Algorithm Type"	""
"Algorithm for the detection of Surface Specific Points"	"Algorithmus für die Erfassung charakteristischer Oberflächenpunkte"
"Align"	""
"Align grid to coordinate system."	""
"Align the coordinates of the extent to the cellsize."	""
"Alignment"	""
"All Files"	"Alle Dateien"
"All Files|*.*|"	"Alle Dateien|*.*|"
"All Levels"	""
"All Modes"	""
"All Recognized File Types"	"Alle erkannten Dateitypen"
"All Recognized Files"	"Alle erkannten Dateitypen"
"All Times"	""
"All Variables"	""
"All weights have to be a positive number."	""
"Allgemeine Parameter"	""
"Allocation"	"Zuweisung"
"Allocation Grid"	"Zuweisungsraster"
"Allochthone Input"	""
"Allochthone input in meter per year (e.g. of aeolian origin, 'Loess')."	""
"Allow Edge Pixels to be Seeds"	"Erlaube Kantenpixel Keime zu sein"
"Allow longitudes outside -180 to 180 Range"	"Berücksichtige Längen außerhalb -180 bis 180 Bereich"
"Allow tools to change data set colors programmatically."	""
"Allows one to scale shade brightness [percent]"	""
"Allows to resample all spectral bands to the same target resolution, either 10 or 20m."	""
"Allows writing cell values from additional grids to the output"	""
"Along Line Frequency"	""
"Alpha"	""
"Alpha Channel"	""
"Alpha Max (Degree)"	"Alpha Max (Grad)"
"Alpha channel values are adjusted to the specified range minimum (full transparency) and maximum (full opacity)"	""
"Alphanumeric Sorting"	""
"Alternate"	""
"Alternate + C"	""
"Alternatives"	""
"Altura de llama"	""
"Altura de llama (m)"	""
"Always use cloud signature (step 14)."	""
"Ambient Air Temperature"	""
"Ambient Occlusion"	""
"Amount of material that has passed through each cell [m]. Optional output in case a grid with material amounts is provided as input."	""
"Amplitude"	""
"An 'Objects' input grid is provided but none of the 'hazard' grids (paths, sources or material) is selected as output!"	""
"Anaglyph"	"Anaglyph"
"Analysis"	""
"Analytical Hierarchy Process"	"Analytischer hierarchischer Prozess"
"Analytical Hillshading"	"Simulierter Schattenwurf"
"Anchor Point"	"Ankerpunkt"
"Angle"	"Winkel"
"Angle (in degrees)"	"Winkel [Grad]"
"Angle X"	""
"Angle Y"	""
"Angle Z"	""
"Angle [Degree]"	"Winkel [Grad]"
"Angle in degrees, clockwise around x-axis."	""
"Angle in degrees, clockwise around y-axis."	""
"Angle in degrees, clockwise around z-axis."	""
"Angular Distance Weighted"	""
"Angular Second Moment"	""
"Angular Step Size (Degree)"	""
"Angular Unit"	""
"Annual"	""
"Annual Climate"	""
"Annual Course of Daily Insolation"	""
"Annual Insolation"	""
"Annual Mean Temperature"	""
"Annual Precipitation"	""
"Annulus"	""
"Appearance"	""
"Append Fields from another Table"	""
"Append Rows from ..."	""
"Applies a majority filter with given search radius to the segments grid. Is skipped if set to zero."	""
"Applies also to the binary format header file."	"Anwendbar ebenfalls für die binäre Formatkopfdatei"
"Apply"	"Anwenden"
"Apply Move"	"Wende Bewegung an"
"Apply changes only to grid cells with No Data along the line."	""
"Apply changes?"	"Änderungen anwenden?"
"Apply post-processing filter to remove small holes."	""
"Approximate Coordinates of Projection Center"	""
"Approximate Coordinates of Target Point"	""
"April"	"April"
"April - June"	""
"Arc Vertex Distance [Degree]"	""
"Arccosine, returns radians"	""
"Arcs to polygons"	""
"Arcsine, returns radians"	""
"Arctangent of x/y, returns radians"	""
"Arctangent, returns radians"	""
"Area"	"Fläche"
"Area +"	""
"Area -"	""
"Area Conversion"	""
"Area Threshold"	""
"Area [km2]"	"Fläche [km²]"
"Area [km2] Subbasin("	"Fläche [km²] Teilbecken("
"Area of Coverage"	""
"Area of Interest"	""
"Area of the Watershed in [km2]"	"Fläche des Wassereinzugsgebietes in [km²]"
"Area of the Watershed in [km2] used for unit conversion"	"Fläche des Wassereinzugsgebietes [km²] die für Bereichsanpassung genutzt wird"
"Area to Length Conversion"	"Fläche für Längenanpassung"
"Area(%)"	""
"Areal average of ln(T0) = ln(Te) [ln(mÂ²/h)]"	""
"Areas"	""
"Arithmetic Mean"	"arithmetrisches Mittel"
"Arithmetic mean (version 1)"	"arithmetriisches Mittel (Version 1)"
"Arithmetic mean (version 2)"	"Arithmetrisches Mittel (Version 2)"
"Arrange Icons"	""
"Artificial Neural Network"	""
"Aspect"	"Standpunkt"
"Aspect grid, in radians and 360 degree from north."	""
"Aspect-Slope"	""
"Aspect-Slope Grid"	""
"Assign attributes to shapes..."	""
"Assume a given minimum slope for each cell."	""
"At-Sensor"	""
"At-Sensor Radiance"	""
"At-Surface"	""
"Atlas Boundary Files"	""
"Atlas Boundary Files (*.bna)"	""
"Atmospheric Correction"	""
"Atmospheric Effects"	"Atmospherische Effekte"
"Atmospheric Lapse Rates"	""
"Attribute"	"Attribut"
"Attribute (Size)"	"Attribut (Größe)"
"Attribute Definition"	""
"Attribute Field"	""
"Attribute Field to Grid"	""
"Attribute Identification"	""
"Attribute Suffix"	""
"Attribute Table"	""
"Attribute Values"	""
"Attribute field number to copy is out of range!"	""
"Attribute field number to grid is out of range!"	""
"Attribute fields one to three (x;y;z) are mandatory!"	""
"Attribute tables of vector data cannot be transposed directly."	""
"Attribute to process."	"Attribute zum Bearbeiten"
"Attribute to use for split line naming (=> each line as new profile)"	""
"Attribute used for naming the output file(s)"	""
"Attributes"	"Attribute"
"Attributes to add. Select none to add all"	""
"Attributes to import besides the coordinates (X/Y/Z)."	""
"August"	"August"
"Ausgabedaten"	""
"Ausgangsrasterzelle Flusseinzugsgebiet [Default: Elbe5000]"	""
"Auswahl der Art der anteiligen Flaechenwasserwasserentnahme."	""
"Auswahl der Art der dynamischen Flaechenwasserwassernutzung (WUse). ACHTUNG: Funktioniert ggf. nur bei bereits initiierten Systemen bzw. nach Vorlauf"	""
"Author"	"Autor"
"Authority"	""
"Authority Code"	""
"Authority Code Error"	""
"Automated Cloud Cover Assessment"	""
"Automatic"	""
"Automatically adjust control points to grid's data range"	"Automatische Anpassung der Kontrollpunkte an den Wertebereich der Rasterdaten"
"Automatically normalise attributes by standard deviation before clustering."	"Automatisches Normalisieren der Attribute mit Standardabweichung vor der Clusterbildung"
"Automatically normalise grids by standard deviation before clustering."	"Automatisches Normalisieren der Rasterdaten mit Standardabweichung vor der Clusterbildung."
"Auxiliary Bands"	""
"Available Choices"	"Auswahlmöglichkeiten"
"Available Clay"	""
"Available Projections:"	"Verfügbare Projektionen:"
"Available Sand"	""
"Available Silt"	""
"Average"	"Durchschnitt"
"Average 2 With Threshold for Grids calculates average in X and Y distances using only the values that differ form central pixel less than a specified threshold. Each value has a weight which is inversely proportional to the distance (method 1)."	"Durchschnitt 2 Mit Schwellenwert für die Rasterberechnung in x und y Entfernung, der nur Werte benutzt die sich weniger als der spezifische Schwellenwert vom zentralen Pixel unterscheiden. Jeder Wert hat eine Gewichtung die invers proportional zu der Entfernung ist (Methode 1).   "
"Average 3 With Threshold for Grids calculates average in X and Y distances using only the values that differ form central pixel less than a specified threshold. Each value has a weight which is inversely proportional to the distance (method 2)."	"Durchschnitt 3 Mit Schwellenwert für die Rasterberechnung in x und y Entfernung, der nur Werte benutzt die sich weniger als der spezifische Schwellenwert von dem zentralen Pixel unterscheiden. Jeder Wert hat eine Gewichtung die invers proportional zu der Entfernung ist(Methode 3)."
"Average View Distance"	""
"Average With Mask 1"	""
"Average With Mask 1 calculates average for cells specified by a mask grid. Cell excluded by the mask grid are NOT used in the average calculation."	""
"Average With Mask 2"	""
"Average With Mask 2 calculates average for cells specified by a mask grid. However cell excluded by the mask grid are used in the average calculation for right pixels."	""
"Average With Threshold 1"	""
"Average With Threshold 2"	"Durchschnitt mit Schwellenwert 2"
"Average With Threshold 3"	"Durchschnitt mit Schwellenwert 3"
"Average With Threshold for Grids calculates average in X and Y distances using only the values that differ form central pixel less than a specified threshold. It's useful to remove noise with a known maximum reducing the loss of information"	""
"Average distance to horizon."	""
"Average of input grid"	""
"Average slope of watercourse: %.2f m/m"	""
"Average velocity in watercourse: %.2f m/min"	""
"Averaged Connectivity"	""
"Averages"	""
"Avg. Curve Number"	"Durchschnittliche Kurvennummer"
"Avg. Manning's N"	"Durchschnitt Manning´s N"
"Avg. Rainfall Intensity (mm/h)"	"Durchschnittliche Niederschlagsintensität (mm/Std.)"
"Avoid over and undershootings specifying value range limits."	""
"Axis Labeling"	""
"Azimuth"	"Azimuth"
"Azimuthal Equidistant"	""
"B"	""
"B-Spline Approximation"	"B-Spline-Interpolation"
"B-Spline Interpolation"	"B-Spline Interpolation"
"B-spline range expressed as number of cells."	""
"BD, Bulk density of the top layer [Mg/m3]"	""
"BFAC("	""
"BLACK_BLUE"	"SCHWARZ_BLAU"
"BLACK_GREEN"	"SCHWARZ_GRÜN"
"BLACK_RED"	"SCHWARZ_ROT"
"BLACK_WHITE"	"SCHWARZ_WEISS"
"BLUH"	""
"BQ("	""
"BSL"	""
"BSL Files (*.bsl)"	"BSL Dateien (*.bsl)"
"BSL Script"	""
"BSL from File"	"BSL aus Datei"
"Back Slope"	""
"Background Color"	"Hintergrundfarbe"
"Background Sample Density [Percent]"	""
"Background color used for no-data cells when storing frames to file."	""
"Backpropagation algorithm"	""
"Backpropagation parameters"	""
"Backward"	"Rückwärts"
"Backward Diagonal"	"Rückwärts diagonal"
"Backward diagonal hatch"	"Diagonal rückwarts schraffiert"
"Band"	""
"Band 1"	""
"Band 2"	""
"Band 3"	""
"Band 4"	""
"Band 5"	""
"Band 61"	""
"Band 62"	""
"Band 7"	""
"Band 8"	""
"Band Identifier"	""
"Band Info"	""
"Band Name Field"	""
"Band Width"	""
"Band Width for Seed Point Generation"	""
"Bands"	"Banden"
"Bands as Grid Collection"	""
"Bandwidth"	""
"Bandwidth (Cells)"	"Bandbreite (Zellen)"
"Bandwidth for exponential and Gaussian weighting"	""
"Bare Earth"	"kahle Erde"
"Barometric Pressure [mbar]"	""
"Bars"	""
"Base 10 Logarithm"	""
"Base Contour Value"	""
"Base Level"	"Ausgangsniveau"
"Base Map"	""
"Base Map Caching"	""
"Base Name"	""
"Base Probability"	"Basis-Wahrscheinlichkeit"
"Base Temperature"	""
"Base Topographies"	""
"Base temperature in degree Celsius"	""
"Basic Terrain Analysis"	""
"Basic measures for spatial point patterns."	"wesentliche Maßeinheiten für räumliche Punktmuster"
"Basin Type (Gravelius)"	"Becken Typ (Gravelius)"
"Basins"	"Becken"
"Batch Gradient Descent"	""
"Be sure to read and understand the usage agreement or terms of service before you use a base map server."	""
"Bedrock"	""
"Beep when finished"	""
"Begin Transaction"	""
"Begin of Parental Development"	""
"Belgium/France"	""
"Below this threshold precipitation will fall as snow"	"Unterhalb dieses Schwellenwertes fällt  Niederschlag als Schnee"
"Beruecksichtigung der Hauptgerinnerasterzellen?"	""
"Beta"	""
"Bicubic Spline Interpolation"	"Bikubische Spline Interpolation"
"Bifurcation"	"Verzweigung"
"Big Endian (Motorola)"	""
"Bilinear Interpolation"	"Bilineare Interpolation"
"Binary Byte Order"	"Binärer Byte-Befehl"
"Binary Encoding"	"binäres Verschlüsseln"
"Binary Erosion-Reconstruction"	""
"Binary object mask"	""
"Bioclimatic Variables"	""
"Bioclimatology"	""
"Bioclimatology|Phenology"	""
"Birth Rate of Fishes"	"Geburtsrate von Fischen"
"Birth Rate of Sharks"	"Geburtsrate von Haien"
"Bleed"	""
"Blending Boundary"	""
"Blending Distance"	""
"Block Kriging"	"Block Kriging"
"Block Matching"	""
"Block Size"	"Block Größe"
"Blue"	"Blau"
"Blue (TM 1)"	""
"Blue Channel Color"	""
"Blue Reflectance"	""
"Board"	"Tafel"
"Boehner & Selige 2006"	""
"Boehner's Simple Language (BSL) is a macro script language for grid based calculations."	"Boehner`s Simple Language (BSL) ist eine Macroscriptsprache für rasterbasierte Berechnungen."
"Bonne"	""
"Bool"	""
"Boost Type"	""
"Border"	"Grenze"
"Border Color"	""
"Borders"	"Grenzen"
"Boreal forest"	""
"Bottom"	"Basis"
"Bottom to Top"	"Unten bis Oben"
"Bottom-Top"	""
"Boundary Cells"	""
"Boundary Cells to Polygons"	""
"Boundary Effect"	""
"Boundary Effect Color"	""
"Boundary Extension"	""
"Boundary Layer"	""
"Bounding Box"	"Rahmen"
"Bounding box of all input files:"	""
"Branches"	"Fachgebiete"
"Branches to Litter"	"Abfallgebiete"
"Braunschweiger Reliefmodell"	"Braunschweiger Reliefmodell"
"Breach Depressions"	""
"Breaks"	"Unterbrechen"
"Brightness"	"Helligkeit"
"Brightness Bands"	""
"Brightness Threshold"	""
"Brightness threshold below a pixel is displayed. Set to 100% to display all (default)."	""
"Bring Forward"	""
"Bring to Front"	""
"Brovey Sharpening"	""
"Buffer"	"Puffer"
"Buffer Distance"	"Pufferdistanz"
"Buffer Grid"	"Pufferraster"
"Buffer Size"	""
"Buffer distance"	"Pufferdistanz"
"Buffer distance (grid units)."	"Pufferdistanz (Rastereinheiten)."
"Build Histogram..."	""
"Build Statistics for Grids"	""
"Buildings"	""
"Bulk Density"	""
"Bulk density top layer"	""
"Burn Stream Network into DEM"	""
"Burned Streams"	""
"Button"	""
"Byte Order"	"Byte Abfolge"
"Byte order when writing floating point values in binary format"	"Byte Abfolge, wenn Fließkommazahlen im binären Format geschrieben werden"
"Bytewise Interpolation"	""
"C"	""
"C Correction"	"C Korrektur "
"C Factor"	"C Faktor"
"C-SVC"	""
"CC, canopy cover expressed as a portion [between 0-1] of the soil surface protected by vegetation or crop"	""
"CCD Physical Pixel Size [micron]"	""
"CELLS"	"ZELLEN"
"CELLSIZE"	"ZELLGRÖßE"
"CENTER"	"MITTE"
"CFAC("	""
"CFit\n(created by SAGA Wizard)."	"CPassend\n(durch SAGA Wizard erzeugt)."
"CIT Index"	""
"CLASS"	"KLASSE"
"CLUSTER"	"CLUSTER"
"COLOR"	""
"CONTIGUITY"	"NÄHE"
"CONVEXITY"	""
"COUNT"	"ANZAHL"
"CRS"	""
"CRS Check"	""
"CRS Definition"	""
"CRS Picker"	""
"CRU Data File (*.dat"	""
"CSV Files"	""
"CSV Files (*.csv)"	"CSV Dateien (*.csv)"
"CUMUL"	""
"CV Folds"	""
"Cache"	""
"Cache Directory"	""
"Cache Size"	""
"Calculate distribution percentiles. Value specifies interval (median=50, quartiles=25, deciles=10, ...). Set to zero to omit percentile calculation."	""
