TEXT	TRANSLATION
"(Tw) wetness decline time constant [upper bound]"	"(Tw) declínio de umidade em tempo constante [limite superior]"
"(a)"	"(a)"
"(a) [lower bound]"	"(a) [limite inferior]"
"(a) [upper bound]"	"(a) [limite superior]"
"(b)"	"(b)"
"(b) [lower bound]"	"(b) [limite inferior]"
"(b) [upper bound]"	"(b) [limite superior]"
"(c) Parameter [lower bound]"	"(c) Parâmetro [limite inferior]"
"(c) Parameter [upper bound]"	"(c) Parâmetro [limite superior]"
"(f) Temperature Modulation Factor [lower bound]"	"(f) Fator de modulação da temperatura [limite inferior]"
"(f) Temperature Modulation Factor [upper bound]"	"(f) Fator de modulação da temperatura [limite superior]"
")"	")"
"*"	"*"
"* 83.50 percentile: %.2lf K"	"* 83.50 percentíl: %.2lf K"
"* 97.50 percentile: %.2lf K"	"* 97.50 percentil: %.2lf K"
"* 98.75 percentile: %.2lf K"	"* 98.75 percentil: %.2lf K"
"* Cloud cover: %.2lf %%"	"* Cobertura de núvem: %.2lf %%"
"* Cold cloud: %.2lf K"	"* Núvem fria: %.2lf K"
"* Desert index: %.2lf"	"* Índice de deserto: %.2lf"
"* Histogram classes: %d"	"* Classes do histograma: %d"
"* Mean temperature: %.2lf K"	"* Temperatura média: %.2lf K"
"* Skewness: %.2lf"	"* Distorção: %.2lf"
"* Snow cover: %.2lf %%"	"* Cobertura de neve: %.2lf %%"
"* Standard deviation: %.2lf"	"* Desvio padrão: %.2lf"
"* Temperature of clouds:"	"* Temperaturas de núvens:"
"* Warm cloud: %.2lf K"	"* Núvem quente: %.2lf K"
"** Error : Wrong outlet point selected **"	"** Erro : Ponto de saída selecionada errada **"
"** Maximum: %.2lf K"	"** Máximo: %.2lf K"
"** Mean (%s cloud): %.2lf K"	"** Média (%s núvem): %.2lf K"
"** Minimum: %.2lf K"	"** Mínimo: %.2lf K"
"** Warning : Number of events might not be representative.\nMinimum number recommended: "	"** Aviso: Número de eventos não serve para representatividade.\nNùmero mínimo recomendado: "
"** Warning : Outlet point was modified **"	"** Aviso: ponto de saída foi modificado **"
"...anteilig aus Rasterzellen der Teileinzugegebiete"	"... sub-bacias proporcionais a partir de células de um raster"
"...anteilig aus den Flussrasterzellen"	"... rio a partir das células de um raster"
"...anteilig aus den Hauptgerinnerasterzellen"	"... canal a partir das células de um raster"
"...genau den entsprechenden Wert aus der jeweiligen Rasterzelle entnehmen"	"... referem-se exatamente o valor adequado a partir da respectiva célula do raster"
"0"	"0"
"0 - 1"	"0 - 1"
"0 - 1.0"	"0 - 1.0"
"0 is horizontal, 90 is vertical."	"0 é horizontal, 90 é vertical."
"0-50 mm/day"	"0-50 mm/dia"
"01: A Simple Litter System"	"01: Um sistema de marca simples"
"01: My first module"	"01: Meu primeiro módulo"
"02: Carbon Cycle Simulation for Terrestrial Biomass"	"02: Simulação do Cíclo do Carbono para a Biomassa Terrestre"
"02: Pixel by pixel operations with two grids"	"02: Operação pixel por pixel para duas grades"
"03: Direct neighbours"	"03: Vizinhos imediatos"
"03: Spatially Distributed Simulation of Soil Nitrogen Dynamics"	"03: Simulação de Nutrientes Espacialmente Distribuídos no Solo de forma Dinâmica"
"04: Direct neighbours - more..."	"04: Vizinhos imediatos - mais..."
"05: Direct neighbours - slope and aspect"	"05: Vizinhos imediatos - declive e aspecto"
"06: Extended neighbourhoods"	"06: vizinhanças prolongadas"
"07: Extended neighbourhoods - catchment areas (trace flow)"	"07: vizinhanças prolongadas- áreas de captação (fluxo de rastreamento)"
"08: Extended neighbourhoods - catchment areas (parallel)"	"08: vizinhanças prolongadas- áreas de captação (paralelos)"
"09: Extended neighbourhoods - catchment areas (recursive)"	"09: vizinhanças prolongadas- áreas de captação (recursivo)"
"1"	"1"
"1 / cell size (pseudo specific catchment area)"	"1 / tamanho da célula (pseudo área de captação específica)"
"1 / cell size (specific catchment area)"	"1 / tamanho da célula (área específica de captação)"
"1 arc-second"	"1 arco-segundo"
"1 bit"	"1 bit"
"1 byte (0-255)"	"1 byte (0-255)"
"1 byte integer"	"1 byte inteiro"
"1 byte signed"	"1 byte assinado"
"1 byte signed integer"	"1 byte assinado inteiro"
"1 byte unsigned"	"1 byte não assinado"
"1 byte unsigned integer"	"1 byte não assinado inteiro"
"1. Attribute"	"1. Atributo"
"1. quadrant (upper right)"	"1. quadrante (Direita superior)"
"1.0"	"1.0"
"10 parameter 3rd order polynom (Haralick 1983)"	"10 parâmetro 3rd de ordem do polígono (Haralick 1983)"
"100-200 mm/day"	"100-200 mm/dia"
"10: Dynamic Simulation - Life"	"10: Simulação dinâmica - Vida"
"11: Dynamic Simulation - Soil Nitrogen Dynamics"	"11: Simulação dinâmica - Nitrogênio do solo dinâmico"
"128x128"	"128x128"
"12: First steps with shapes"	"12: Primeiros passos com formas"
"13: Reprojecting a shapes layer"	"13: Reprojetando camadas shapes"
"14: Vectorising channel lines"	"14: Vetorizando canais de linhas"
"16 bit"	"16 bit"
"16 bit signed integer"	"16 bit assinado inteiro"
"16 bit unsigned integer"	"16 bit não assinado inteiro"
"16x16"	"16x16"
"1st Order Polynomial"	"1ª ordem polinominal"
"1st Std. Parallel"	"1ª paralelo"
"2"	"2"
"2 byte (0-65535)"	"2 byte (0-65535)"
"2 byte integer"	"2 byte inteiro"
"2 byte integer|4 byte floating point|"	"2 byte inteiro |4 byte com ponto flutuante|"
"2 byte signed"	"2 byte assinados"
"2 byte signed integer"	"2 byte inteiro assinados"
"2 byte unsigned"	"2 byte não assinados"
"2 byte unsigned integer"	"2 byte não assinado inteiro"
"2 x 2"	"2 x 2"
"2-fold"	"2-dobro"
"2. Attribute"	"2. Atributo"
"2. quadrant (lower right)"	"2. quadrante (Direita inferior)"
"2.0"	"2.0"
"20 seconds"	"20 segundos"
"200-400 mm/day"	"200-400 mm/dia"
"256x256"	"256x256"
"2nd Order Polynomial"	"2ª ordem polinominal"
"2nd Std. Parallel"	"2ª paralelo"
"3"	"3"
"3 X 3"	"3 X 3"
"3 arc-second"	"3 arco-segundo"
"3 parameters (translation only)"	"3 parâmetros (apenas translação)"
"3 x 3"	"3 x 3"
"3. Attribute"	"3. Atributo"
"3. quadrant (lower left)"	"2. quadrante (Esquerda inferior)"
"32 bit floating point"	"32 bit ponto flutuante"
"32 bit signed integer"	"32 bit assinado inteiro"
"32 bit unsigned integer"	"32 bit não assinado inteiro"
"32x32"	"32x32"
"3306"	"3306"
"3D Image"	"Imagem 3D"
"3D Image Height"	"Altura da imagem 3D"
"3D Image Width"	"Largura da imagem 3D"
"3D Points"	"3D Pontos"
"3D Shapes Viewer"	"Visualização 3D de shapes"
"3D View"	"Visualização 3D"
"3D View Sequencer"	"Sequência de visualização 3D"
"3D Viewer"	"Visualizador 3D "
"3D Viewer."	"Visualizador 3D "
"3D-View"	"Visualização 3D"
"3rd Order Polynomial"	"3ª ordem polinomial"
"4 (von Neumann)"	"4 (von Neumann)"
"4 byte float"	"4 byte flutuante"
"4 byte floating point"	"4 byte com ponto flutuante"
"4 byte floating point number"	"4 byte com número de ponto flutuante"
"4 byte integer"	"4 byte inteiro"
"4 byte signed"	"4 byte assinado"
"4 byte signed integer"	"4 byte assinado inteiro"
"4 byte unsigned"	"4 byte não assinado"
"4 byte unsigned integer"	"4 byte não assinado inteiro"
"4. quadrant (upper left)"	"4. quadrante (Esquerda superior)"
"5 X 5"	"5 X 5"
"50-100 mm/day"	"50-100 mm/dia"
"6 parameter 2nd order polynom (Bauer, Rohdenburg, Bork 1985)"	"6 parâmetro de 2ª ordem polinomial (Bauer, Rohdenburg, Bork 1985)"
"6 parameter 2nd order polynom (Evans 1979)"	"6 parâmetro de 2ª ordem polinomial (Evans 1979)"
"6 parameter 2nd order polynom (Heerdegen & Beran 1982)"	"6 parâmetro de 2ª ordem polinomial (Heerdegen & Beran 1982)"
"64 bit floating point"	"64 bit com ponto flutuante"
"64x64"	"64x64"
"7 X 7"	"7 X 7"
"7 parameters"	"7 parâmetros"
"8 (Moore)"	"8 (Moore)"
"8 bit"	"8 bit"
"8 bit unsigned integer"	"8 bit não assinado inteiro"
"8 byte float"	"8 byte flutuante"
"8 byte floating point"	"8 byte com ponto flutuante"
"8 byte floating point number"	"8 byte com número de ponto flutuante"
"9 parameter 2nd order polynom (Zevenbergen & Thorne 1987)"	"9 parâmetro de 2ª ordem polinomial (Zevenbergen & Thorne 1987)"
":-( :-( you are a loser :-( :-("	":-( :-( você é um perdedor :-( :-("
":-) :-) you are a winner :-) :-) Time:%ds\n"	":-) :-) Você é um vencedor :-) :-) Tempo:%ds\n"
"<"	"<"
"<="	"<="
"<all grid systems>"	"<sistema de todas as grades>"
"<create>"	"<criar>"
"<default>"	"<padrão>"
"<no attributes>"	"<sem atributos>"
"<no choice available>"	"<nenhuma opção disponível>"
"<no items>"	"<sem itens>"
"<none>"	"<nenhum>"
"<not set>"	"<não configurado>"
"="	"="
">"	">"
">400 mm/day"	">400 mm/dia"
">="	">="
"?"	"?"
"A"	"A"
"A SAGA module to create transects through polygon files."	"Um módulo SAGA para criar transectos através de arquivos de polígonos."
"A Simple Litter System"	"Um Sistema Simples de Maca"
"A grid that contains elevation data."	"Uma grade que contém dados de elevação."
"A set of basic SAGA module programming examples."	"Um conjunto de exemplos básicos de programação do módulo SAGA."
"A space separated list of key-value pairs (K=V)."	"Uma lista separada de espaço de pares chave-valor (K = V)."
"A text file with the full path to an input point cloud on each line"	"Um arquivo de texto com o caminho completo para um ponto de nuvem de entrada em cada linha"
"A3 Landscape"	"A3 Paisagem"
"A3 Portrait"	"A3 Retrato"
"A4 Landscape"	"A4 Paisagem"
"A4 Portrait"	"A4 Retrato"
"A:Garden|Imagery"	"A:Horta|Imagem"
"A:Grid|Analysis|Macroecology"	"A:Grade|Análise|Macroecologia"
"A:Grid|Distances"	"A:Grade|Distância"
"A:Grid|Filter"	"A:Grade|Filtro"
"A:Grid|Gaps"	"A:Grade|Lacunas"
"A:Grid|Grid System"	"A:Grade|Sistema de raster"
"A:Grid|Tools"	"A:Grade|Ferramentas"
"A:Grid|Values"	"A:Grade|Valores"
"A:Imagery|Classification"	"A:Imagens|Classificação"
"A:Imagery|Fourier Analysis"	"A:Imagens|Análise de Fourier"
"A:Imagery|Segmentation"	"A:Imagens|Segmentação"
"A:Imagery|Tools"	"A:Imagens|Ferramentas"
"A:Shapes|Construction"	"A:Shapes|Construção"
"A:Shapes|Conversion"	"A:Shapes|Conversão"
"A:Shapes|Selection"	"A:Shapes|Seleção"
"A:Shapes|Table"	"A:Shapes|Tabela"
"A:Shapes|Tools"	"A:Shapes|Ferramentas"
"A:Simulation|Hillslope Evolution"	"A:Simulação|Elevação do relevo"
"A:Simulation|Hydrology"	"A:Simulação|Hidrologia"
"A:Spatial and Geostatistics|Geographically Weighted Regression"	"A:Espacial e geoestatística|Regressão Geograficamente ponderada"
"A:Spatial and Geostatistics|Points"	"A:Espacial e geoestatística|Pontos"
"A:Table|Construction"	"A:Tabela|Construção"
"A:Table|Selection"	"A:Tabela|Seleção"
"A:Table|Tools"	"A:Tabela|Ferramentas"
"A:Terrain Analysis|Climate and Weather"	"A:Análise de terreno|Clima e Tempo"
"A:Terrain Analysis|Hydrology|Flow Accumulation"	"A:Análise de terreno|Hidrologia|Acumulação de fluxo"
"A:Terrain Analysis|Preprocessing"	"A:Análise de terreno|Pré-processamento"
"A:Terrain Analysis|Terrain Classification"	"A:Análise de terreno|Classificação de terreno"
"ADDR"	"ADDR"
"AFAC("	"AFAC("
"AFAC()"	"AFAC()"
"ANGMAP"	"ANGMAP"
"AOI"	"AOI"
"AOI Input Settings"	"AOI Configurações de entrada"
"AOI Shape"	"AOI Shape"
"AOI does not intersect bounding box of SPCVF, nothing to do!"	"AOI não se cruza com o quadro de SPCVF, nada a ver com na delimitação!"
"AOI does not intersect with any bounding box of the SPCVF datasets, nothing to do!"	"AOI não cruza com qualquer caixa delimitadora dos conjuntos de dados SPCVF, nada a fazer!"
"AOI does not intersect with any point of the SPCVF datasets, nothing to do!"	"AOI não se cruza com qualquer ponto dos conjuntos de dados SPCVF, nada a fazer!"
"AQ("	"AQ("
"AREA"	"ÁREA"
"AS("	"AS("
"ASCII"	"ASCII"
"ASCII Decimal Separator"	"ASCII Separador decimal"
"ASCII Grid Options"	"ASCII Opções de grade"
"ASCII Precision"	"ASCII Precisão"
"ASCII file with columns degree, order, c_lm, s_lm (separated by space)"	"Arquivo ASCII com colunas em grau, ordenados, c_lm, s_lm (separados por espaço)"
"ASPECT_1"	"ASPECT_1"
"ASPECT_2"	"ASPECT_2"
"ASPECT_3"	"ASPECT_3"
"AWM1 Grid"	"AWM1 Grade"
"AWM2 Grid"	"AWM2 Grade"
"AWT Grid"	"AWT Grade"
"AZIMUTH"	"AZIMUTH"
"Abflussmanipulation Rasterzelle 1... "	"Manipulação das células do raster de drenagem 1... "
"Abflussmanipulation Rasterzelle 2... "	"Manipulação das células do raster de drenagem 2... "
"About SAGA"	"Sobre o SAGA"
"Above Elevation"	"Elevação acima"
"Above this threshold snow will start to melt"	"Acima deste limiar a neve vai começar a derreter"
"Absolute"	"Absoluto"
"Absolute Area"	"Área absoluta"
"Absolute Height"	"Altura absoluta"
"Absolute Value"	"Valor absoluto"
"Absolute Water Level"	"Nível de água absoluto"
"Absolute Water Levels"	"Nível de água absoluto"
"Absolute Weighting"	"Ponderação Absoluta"
"Abstract"	"Abstrato"
"Acc. Area"	"Acc. Área"
"Acceleration"	"Aceleração"
"Accessing PostgreSQL databases."	"Acessando bancos de dados PostgreSQL."
"Accumulated Cost"	"Custo acumulado"
"Accumulated Cost Surface"	"Superfície de custo acumulado"
"Accumulated Material"	"Material acumulado"
"Accumulated Material (Left Side)"	"Material acumulado (Lado esquerdo)"
"Accumulated Material (Right Side)"	"Material acumulado (Lado direito)"
"Accumulated cost"	"Custo acumulado"
"Accumulation Functions"	"Funções de acumulação"
"Accumulation Target"	"Destino de acumulação"
"Accuracy"	"Precisão"
"Acknowledgements"	"Agradecimentos"
"Acquisition"	"Aquisição"
"Action"	"Ação"
"Activate Grid File Cache?"	"Ative o arquivo grade de cache?"
"Activate file caching automatically, if memory size exceeds the threshold value."	"Ativar o cache de arquivos automaticamente, se o tamanho da memória exceder o valor limite."
"Activation function"	"função de ativação"
"Add"	"Adicionar"
"Add All"	"Adicionar todos"
"Add All Fields"	"Adicionar todos os campos"
"Add Attribute to Clipped Points"	"Adicionar atributo para os pontos cortados"
"Add Base Map"	"Adicionar mapa base"
"Add Border"	"Adicionar borda"
"Add Cells"	"Adicionar células"
"Add Center"	"Adicionar centro"
"Add Coordinates to points"	"Adicionar coordenadas para pontos"
"Add Field"	"adicionar campo"
"Add Frame"	"Adicionar Moldura"
"Add Graticule"	"Adicionar quadrícula"
"Add Grid Values to Points"	"Adicionar valores de grade para pontos"
"Add Grid Values to Shapes"	"Adicionar valores gradepara shapes"
"Add Identifier"	"Adicionar identificador "
"Add Indicator Fields for Categories"	"Adicionar Campos indicadores para categorias"
"Add Link to Files"	"Adicionar link para os arquivos"
"Add Location Info"	"Adicionar informação de localização"
"Add Overlap"	"Adicionar sobreposição"
"Add Part"	"Adicionar parte"
"Add Point Attributes to Polygons"	"Adicionar atributos de pontos para polígonos"
"Add Point Order"	"Adicionar ordem de ponto"
"Add Polygon Attributes to Points"	"Adicionar atributos de polígonos para pontos"
"Add Position [Ctrl + A]"	"Adicionar posição [Ctrl + A]"
"Add Project"	"Adicionar projeto"
"Add Record"	"Adicionar registro"
"Add Shape"	"Adicionar Shape"
"Add Source Information"	"Adicionar informação de Fonte"
"Add Volumes Below Base Level"	"Adicionar Volumes abaixo do nível base"
"Add layer to selected map"	"Adicionar camada para o mapa selecionado"
"Add location information from points (x,y,(z,m))"	"Adicionar informações de localização para pontos (x,y,(z,m))"
"Add overlap to AOI"	"Adicionar sobreposição para o AOI"
"Add point order as additional attribute."	"Adicione ordem do ponto como atributo adicional."
"Add to Map"	"Adicionar ao mapa"
"Add to Table"	"Adicionar à tabela"
"Add unique identifier attribute field to output, ID resembles processing order."	"Adicionar campo de atributo identificador único Adiciona à saída, ID contendo a ordem de processamento."
"Added"	"Adicionado"
"Addition"	"Adição"
"Additional Output"	"Saída adicional"
"Additional Point Clouds"	"Pontos adicionais de núvens"
"Additional Values"	"Valores adicionais"
"Additional point clouds to merge with main point cloud."	"Pontos adicionais de fusão com pontos da nuvem principal e nuvens adicionais."
"Additional values that shall be saved to the output table."	"Valores adicionais que devem ser guardados para a tabela de saída."
"Addition|"	"Adição!"
"Adds a field with the name of the original input data set."	"Adiciona um campo com o nome do conjunto de dados de entrada original."
"Adjust"	"ajustar"
"Adjust Histogram Stretch to Map Extent"	"Ajustar histograma por ampliação à extensão do mapa"
"Adjust to Grid"	"Ajustar à grade"
"Adjustment"	"Ajustamento"
"Advanced Settings"	"Configurações avançadas"
"Aerosol Resistance Coefficient (Blue)"	"Coeficiente de Resistência de Aerosol (azul)"
"Aerosol Resistance Coefficient (Red)"	"Coeficiente de Resistência de Aerosol (vermelho)"
"Affine"	"Afim"
"Aggregate"	"Agregados"
"Aggregate Point Observations"	"Observações de pontos agregados"
"Aggregated"	"Agregado"
"Aggregation"	"Agregação"
"Aggregation Index"	"Índice de agregação"
"Aggregation Size"	"Tamanho da agregação"
"Air Humidity (2pm) [%%]"	"Humidade do ar (2pm) [%%]"
"Air Pressure, Water and Dust Content"	"Pressão de Ar, Água e Poeira"
"Albedo"	"Albêdo"
"Albers Equal Area Conic"	"Áreas cônicas equivalentes de Albers"
"Alessandro Perego"	"Alessandro Perego"
"Algorithm"	"Algoritmo"
"Algorithm for the detection of Surface Specific Points"	"Algoritmo para a detecção de superfícies específicas de observações"
"Alignment"	"Alinhamento"
"All"	"Tudo"
"All Files"	"Todos os arquivos"
"All Files|*.*|"	"Todos os arquivos|*.*|"
"All Levels"	"Todos os níveis"
"All Recognised Files"	"Todos os arquivos Reconhecidos"
"All Recognized File Types"	"Todos os tipos de arquivos reconhecidos"
"All Recognized Files"	"Todos os arquivos Reconhecidos"
"All Times"	"Todos os tempos"
"All Variables"	"Todas as variáveis"
"Allgemeine Parameter"	"Parâmetros gerais"
"Allocation"	"Alocação"
"Allocation Grid"	"Alocação de grade"
"Allow Edge Pixels to be Seeds"	"Permitir que as bordas de pixels sejam semeadas"
"Allow longitudes outside -180 to 180 Range"	"Permitir longitudes fora do alcance 180 a 180"
"Allow multiple observer positions."	"Permitir várias posições de observação."
"Allows one to scale shade brightness [%]"	"Permite escala de brilho de sombra [%]"
"Allows one to scale shade brightness [percent]"	""
"Allows writing cell values from additional grids to the output"	""
"Alpha"	"Alfa"
"Alpha Max (Degree)"	"Alfa máximo (Graus)"
"Alternatives"	"Alternativas"
"Altura de llama"	"Altura de lhama"
"Altura de llama (m)"	"Altura de lhama (m)"
"Always use cloud signature (step 14)"	"Sempre use nuvem de assinaturas(passo 14)"
"Ambient Occlusion"	"Oclusão de ambiente"
"Anaglyph"	"Anáglifo"
"Anaglyph [S]"	"Anáglifo [S]"
"Analysis"	"Análise"
"Analytical Hierarchy Process"	"Processo Analítico Hierarquico"
"Analytical Hillshading"	"Análise de sobreamento de montanhas"
"Anchor Point"	"Ponto de ancoragem"
"Angle"	"Ângulo"
"Angle (in degrees)"	"Ângulo (em graus)"
"Angle Calculation"	"Cálculo de ângulo"
"Angle X"	"Ângulo X"
"Angle Y"	"Ângulo Y"
"Angle Z"	"Ângulo Z"
"Angle [Degree]"	"Ângulo [Graus]"
"Angle in degrees, clockwise around x axis"	"Ângulo em graus, no sentido horário em torno do eixo x"
"Angle in degrees, clockwise around y axis"	"Ângulo em graus, no sentido horário em torno do eixo y"
"Angle in degrees, clockwise around z axis"	"Ângulo em graus, no sentido horário em torno do eixo z"
"Angle in degrees, counting clockwise from north"	"Ângulo em graus, contando no sentido horário a partir do norte"
"Angular Distance Weighted"	"Distância Angular Ponderada"
"Angular Step Size (Degree)"	"Passo Tamanho Angular (Grau)"
"Annual"	"Anual"
"Annual Course of Daily Insolation"	"Curso Anual de insolação diária"
"Appearance"	""
"Append Fields from another Table"	"Anexar campos de outra tabela"
"Append Rows from ..."	"Acrescente linhas de ..."
"Applies a majority filter with given search radius to the segments grid. Is skipped if set to zero."	""
"Applies also to the binary format header file."	"Aplica-se também para o arquivo de cabeçalho em formato binário."
"Apply"	"Aplicar"
"Apply Move"	"Aplicarmovimento"
"Apply changes?"	"Aplicar alterações?"
"Apply post-processing filter to remove small holes"	"Aplicar filtro de pós-processamento para remover pequenos orifícios"
"Approx. Terrain Slope"	"Declive aproximado de terreno"
"Approximate Coordinates of Projection Center"	"Coordenadas aproximadas do Centro de Projeção"
"Approximate Coordinates of Target Point"	"Coordenadas aproximadas do Ponto-alvo"
"Approximate Terrain Slope [%]"	"Declive aproximado de terreno [%]"
"April"	"Abril"
"Arc Vertex Distance [Degree]"	"Distância do vértice do arco[Grau]"
"ArcGIS MapServer Tiles"	""
"Arccosine"	"Arccoseno"
"Arcs to polygons"	"Arcos pra polígonos"
"Arcsine"	"Arcoseno"
"Arctangent"	"Arcotangente"
"Arctangent of x/y"	"Arcotangente de x/y"
"Area"	"Área"
"Area +"	"Área +"
"Area -"	"Área -"
"Area Conversion"	"Área de Conversão"
"Area [km2]"	"Área [km2]"
"Area [km2] Subbasin("	"Área da Sub-bacia [km2] ("
"Area of the Watershed in [km2]"	"Área da bacia em [km2]"
"Area of the Watershed in [km2] used for unit conversion"	"Área da bacia em [km2] utilizado para a conversão da unidade"
"Area to Length Conversion"	"Área para conversão de comprimento"
"Area[%]"	"Área[%]"
"Areal average of ln(T0) = ln(Te) [ln(m^2/h)]"	"Área média de ln(T0) = ln(Te) [ln(m^2/h)]"
"Arithmetic Mean"	"Média aritmética"
"Arithmetic mean (version 1)"	"Média aritmética (Versão 1)"
"Arithmetic mean (version 2)"	"Média aritmética (Versão 2)"
"Arrange Icons"	"Organizar ícones"
"Aspect"	"Aspecto"
"Aspect Units"	"Unidades de aspecto"
"Aspect grid, in radians and 360 degree from north."	"Grade de aspecto, em radianos e 360 graus ao norte."
"Aspect grid, in radians."	"Grade de aspecto, em radianos."
"Aspect-Slope"	"Aspecto de Declive"
"Aspect-Slope Grid"	"Grade de aspecto de declive"
"Assign"	"Atribuir"
"Assign ..."	"Atribuir"
"Assign attributes to shapes..."	"Atribuir atributos aos shapes..."
"Assume a given minimum slope for each cell."	"Assumir uma dada inclinação mínima para cada célula."
"At-Sensor Radiance"	"Sensor At de radiação"
"At-Sensor Reflectance"	"Sensor At de reflectância"
"At-Sensor Temperature"	"Sensor At de teperatura"
"At-Surface Radiance"	"Superfície At de radiância"
"At-Surface Reflectance"	"Superfície At de reflectância"
"Atlas Boundary Files (*.bna)"	"Atlas de arquivos de contorno "
"Atmospheric Correction"	"Correção atmosférica"
"Atmospheric Effects"	"Efeitos atmosféricos"
"Attribute"	"Atributo"
"Attribute (Size)"	"Atributo (Tamanho)"
