0	15.4	80.47
0.1	19.7	68.18
1.5	20.2	72.30
0.1	22.6	63.72
9.3	20.3	72.16
0	20.1	66.26
0	18	66.23
0.1	17.4	71.01
0	17.8	67.08
0.9	16.4	73.35
0.8	19.5	72.57
0	17.5	73.11
0	17.4	67.53
4.4	19	68.13
0	16	73.89
0	22.5	59.16
0	25.4	67.15
0	20.8	73.52
0	15.5	72.32
0	13.8	76.63
0	15.3	69.70
0	15.4	73.29
2.9	16.4	74.14
0	15.1	70.38
0	20.3	54.71
0	21.8	64.97
5.5	15	86.35
6.2	14.3	79.72
0.2	13.6	74.02
0.5	14	70.70
0	13.5	71.58
0	17.2	62.36
0	20.4	64.35
0	20.5	66.75
0	18.5	66.74
0	17.9	69.31
0.2	21	64.93
0	21.5	66.57
0	23	66.72
0	25	60.09
0	26.8	60.79
0	23.7	70.37
5.5	19.2	84.50
0.2	21.9	67.36
0	21.9	64.96
0	21.6	66.96
0	18.1	75.71
0.3	20.2	71.63
0	19.5	70.96
0.7	18.5	63.51
1.4	19.1	63.84
0.2	20.3	63.31
0.8	22.1	70.54
0.3	23.3	66.86
1.9	17.8	74.69
3	15.7	79.53
5.8	13.6	84.11
2.4	19.2	64.79
0	21	67.41
0	23.6	62.77
0	25	67.99
0	22.4	69.73
0	22.6	58.43
0	19.4	67.85
10.1	17.6	73.63
0.2	20.6	59.01
0	26.1	52.08
0	26.8	59.52
0	27.1	64.28
0	22.5	68.95
6	17.6	88.19
9.9	16.5	89.19
0	16	86.51
0	19	72.10
0	23.6	56.88
0	26.2	57.03
0	25	61.39
0	25.5	68.49
0	23.2	71.17
0.4	19.1	66.61
0	22.4	56.40
0	22.7	66.83
0	19	74.63
5	17.1	76.52
0.3	17.8	70.73
0	19.2	67.09
0.2	19.1	64.51
0	22	60.52
0	24.1	62.59
0	24.2	62.67
0	26	56.75
0	21.1	69.23
0	22	64.88
0	22	66.56
0	20	68.48
0	19.3	71.30
0	20.9	60.43
0	22.2	56.82
0	23.2	52.92
0	24.1	52.87
0	25.3	52.32
0	25.2	58.61
0	23.3	68.62
0.9	23.5	61.85
0	24.4	65.00
3.7	21.3	67.32
5.9	17.1	77.30
1.3	18.3	65.68
0	19.4	62.88
8.5	21.2	74.44
0	18	77.29
1.4	19.7	77.60
0.1	17.4	84.36
2	18.2	71.64
9.5	16.6	80.47
0	19.3	68.15
0.1	19	67.93
0	18	64.33
0	17.4	79.81
5.1	16.8	74.60
7	15.6	84.76
2.2	16.7	71.99
1	17.1	66.28
0	16.6	68.15
1.7	20.1	75.07
7.4	19	78.78
0.2	14.8	79.62
0	10.5	80.12
16	12.1	77.19
4.8	13.7	84.94
0.7	16.4	71.06
12.3	14.6	64.95
1	17	75.69
0.4	15.4	78.43
2.5	11.5	72.51
7.7	11.7	70.52
0.2	10.3	72.56
0.3	10.9	66.88
0	10.6	66.23
0	8.7	77.17
0	10	62.91
0	10.3	69.07
1.6	13	69.21
2.3	14	76.16
20.9	10.8	82.17
2.3	8.9	71.63
0	10.1	73.43
1	10	70.07
0.2	12.4	73.92
3.2	9.2	78.57
0.2	9.2	71.34
3.6	11.5	72.09
0	11.7	70.99
1.2	10.3	80.76
4	13.5	63.47
5	13.6	78.93
0.1	15.6	77.87
0	14.1	92.10
0.1	13.8	85.00
0.4	11.1	81.51
0	9.5	68.46
0	9	71.14
0	8.4	75.21
0	7.5	74.92
0	7.9	63.91
0	7.7	80.55
0	9.8	84.98
2.8	10.6	83.08
0	9.4	71.87
0	9	76.03
0	8.2	84.37
2.3	8.2	88.39
4.8	11.2	72.14
0	12.2	81.84
2.8	14.5	51.64
5.7	15.6	76.77
1.4	13.3	70.51
0.4	14.5	78.21
0	13.2	73.21
1.3	5.9	75.97
0	6.8	69.41
0	12.5	69.52
0.9	11.6	78.68
0.8	6	82.35
0.2	8.5	62.88
1.7	10.2	73.63
7.6	4.5	86.37
0	6.1	80.01
0	9.7	76.44
0.6	8.9	76.89
1.9	5.1	84.72
3.6	5	88.90
1.6	4.8	77.98
1.6	0.7	84.85
0.2	0.2	77.74
0	0	68.35
0.8	0.4	83.25
2.8	-1.9	75.35
0	0.9	64.26
5.3	2	87.61
18.8	1.4	79.52
0	-0.3	73.79
0	-1.4	73.31
0	1.1	71.39
1	2.2	60.67
0	2	85.84
3.5	0.8	94.96
5.6	-0.1	85.78
0	-0.9	76.18
0	0.7	87.56
1.7	-1.2	82.42
0	1.7	73.22
0	2.1	90.20
2.9	2.6	92.43
0	6.2	74.42
4.2	7	85.77
0.6	6.9	79.64
