TEXT	TRANSLATION
Approx. Terrain Slope	ungefähre Geländeneigung
Approximate Terrain Slope [%]	ungefähre Geländeneigung [%]
April	
Arcs	
Arcs to polygons	
Are completely within	Vektordaten eine Tabelle zuweisen
Area	Fläche
Area (ha)	
Area +	
Area -	
Area [km2]	
Area [km2] Subbasin(	
Area of the Watershed in [km2]	
Area of the Watershed in [km2] used for unit conversion	
Area to Length Conversion	
Area[%]	Fläche[%]
Areal average of ln(T0) = ln(Te) [ln(m^2/h)]	
Arithmetic Mean	arithmetrisches Mittel
Arithmetic mean (version 1)	
Arithmetic mean (version 2)	
Aspect	
Aspect grid, in radians.	
Assign	Zuweisen
Assign attributes to shapes...	
At least two polygons have to be given for intersection	Mindestens zwei Polygone sind für Schnittmenge anzugeben
At the moment the reclass table is limited to 128 categories!\n	Zur Zeit ist die Reklassifizierungstabelle auf 128 Kategorien beschränkt!\n
Atlas Boundary Files (*.bna)|*.bna|All Files|*.*	
Atmospheric Effects	
Atmospheric Pressure [mbar]	
Attribute	Attribut
Attribute A	
Attribute B	
Attribute Field Properties	
Attribute Fields	
Attribute Table	Attributtabelle
Attribute is Column ...	
Attribute to add. Select none to add all	Anzufügende Attribute. Wähle none um alle anzufügen
Attribute to drop	Attribute zum Fallenlassen
Attribute to drop.	Attribute zum Fallenlassen
Attribute to process.	Attribute zum Bearbeiten
Attributes	Attribute
Attributes to import besides x,y,z ...	
August	
Automatic mode	Automatisch
Automatically adjust control points to grid's data range	
Automatically fits the grid to the shapes layers extent.	
Automatically normalise attributes by standard deviation before clustering.	
Automatically normalise grids by standard deviation before clustering.	Automatisches normalisieren der raster mit Standardabweichung vor der Clusterbildung.
Available Choices	Auswahlmöglichkeiten
Available Connections	Auswahlverbindungen
Available Projections:	
Average	Durchschnitt
Average 2 With Thereshold for Grids calculates average in X and Y distances unsing only the values that differ form central pixel less than a specified threshold. Each value has a weight which is inversely proportional to the distance (method 1).	
Average 3 With Thereshold for Grids calculates average in X and Y distances unsing only the values that differ form central pixel less than a specified threshold. Each value has a weight which is inversely proportional to the distance (method 2).	
Average With Mask 1	
Average With Mask 1 calculates average for cells specified by a mask grid. Cell excluded by the mask grid are NOT used in the average calculation.	
Average With Mask 2	
Average With Mask 2 calculates average for cells specified by a mask grid. However cell excluded by the mask grid are used in the average calculation for right pixels.	
Average With Thereshold 1	
Average With Thereshold 2	
Average With Thereshold 3	
Average With Thereshold for Grids calculates average in X and Y distances unsing only the values that differ form central pixel less than a specified threshold. It's useful to remove noise whit a known maximum reducing the loss of informations	
Avg. Curve Number	
Avg. Manning's N	
Avg. Rainfall Intensity (mm/h)	
Azimuth	
Azimuth [Degree]	
Azimuth []	
Azimuthal Equidistant	
B	
B-Spline Approximation	B-Spline-Angleichung
B-Spline Interpolation	
BFAC(	
BLACK_BLUE	
BLACK_GREEN	
BLACK_RED	
BLACK_WHITE	
BQ(	
BSL	
BSL Files (*.bsl)	BSL Dateien (*.bsl)
BSL Script	
BSL from File	BSL aus Datei
Background Color	Hintergrundfarbe
Backward diagonal hatch	Diagonal rückwarts schraffiert
Band	
Bands	
Bandwidth (Cells)	
Bare Earth	kahle Erde
Bars	Balken
Base Grid	Basisraster
Base Level	Ausgangsniveau
Base Probability	
Basic Morphometry	
Basic measures for spatial point patterns.	
Basin Code	
Basin Type (Gravelius)	
Basin subdivision	
Below this threshold precipitation will fall as snow	
Bicubic Spline Interpolation	Bikubische Spline Interpolation
Bifurcation	
Big Endian (Motorola)	
Bilinear Interpolation	Bilineare Interpolation
Binary Byte Order	
Binary Encoding	binäres Verschlüsseln
Birth Rate of Fishes	
Birth Rate of Sharks	
Block Kriging	
Block Size	
Blocks	
Blue	Blau
Board	
Boehner & Selige 2006	
Boehner's Simple Language (BSL) is a macro script language for grid based calculations.	Boehner`s Simple Language (BSL) ist eine Macroscriptsprache für rasterbasierte Berechnungen.
Bonne	
Borders	Grenzen
Bottom	Basis
Bottom to Top	
Boundaries	Grenzen
Boundary	
Bounding Box	
Branches	
Branches to Litter	
Braunschweiger Reliefmodell	
Breaks	
Buffer	Puffer
Buffer Distance	Pufferdistanz
Buffer Distance (Attribute)	Pufferdistanz (Attribut)
Buffer Distance (Fixed)	Pufferdistanz (fest)
Buffer Grid	Pufferraster
Buffer Size [MB]	Puffergröße [MB]
Buffer distance	Pufferdistanz
Buffer distance (grid units).	Pufferdistanz (Rastereinheiten).
By number	durch Nummer
Byte Order	
Byte order when writing floating point values in binary format	
C	
C Correction	
C Factor	
CELLS	ZELLEN
CENTER	MITTE
CFAC(	
CFit\n(created by SAGA Wizard).	CPassend\n(durch SAGA Wizard erzeugt).
CLASS	KLASSE
CLUSTER	
COLOR	FARBE
CONTIGUITY	
COUNT	ANZAHL
CRS Database	
CRS Dictionary	
CSV Files (*.csv)	
Calculate distribution Quantiles	Kalkuliere das Wahrscheinlichkeitsquantil
Calculate the volume under the grid's surface. This is mainly useful for Digital Elevation Models (DEM).	Kalkuliere das Volumen unter der Rasteroberfläche. Dieses ist hauptsächlich sinnvoll für Digitale Geländemodelle (DGM).
Calculates the gradient based on the values of each triangle's points.\n\n	Berechnet den Gradient basierend auf dem Wert eines jeden Dreieckspunktes.\n\n
Calculates weights for distance plus one, avoiding division by zero for zero distances	
Calculating Catchment Area...	
Calculating Subbasins...	
Calculating danger...	
Calculation	
Cancel	
Canny	
Carbon Cycle Simulation	
Carbonization Factor	
Case Sensitive	
Case of contiguity	
Cassini	
Catchment Area	
Catchment Aspect	
Catchment Height	
Catchment Slope	
Catchment area	
Catchment area calculation...	
Catchment slope	
Categorial Grids	
Cell Balance	
Cell Count	Zellen Anzahl
Cell Count (X)	
Cell Count (Y)	
Cell Height	Zellenhöhe
Cell Size	Zellen Größe
Cell Size Specification	Zellgröße Beschreibung
Cell Sizes	Zellengröße
CellSize to S-N Extent	Zellgröße in S-N Ausdehnung
CellSize to W-E Extent	Zellgröße in W-E Ausdehnung
Cells	
Cellsize	Zellgröße
Cellular Automata	
Center Versus Neighbours	Mitte versus Nachbarn
Center of Triangles	Mitte des Dreiecks
Centered	
Central Meridian	
Central Parallel	
Central Projection	Zentralprojektion
Centre	
Centroid X	
Centroid Y	
Centroids	Schwerpunkt
Centroids for each part	Schwerpunkt für jeden Teil
Change Cell Values	Ändere Zellwerte
Change Grid Values	Ändere Rasterwerte
Change Grid Values - Flood Fill	Ändere Rasterwerte - Flächenfüllung
Change Vector Analysis	Veränderungsvektor Analyse
Changed Grid	Geändertes Raster
Channel Definition Threshold (ha)	
Channel Direction	
Channel Network	
Channel Network Base Level	
Channel Network: Pass 1	
Channel Network: Pass 2	
Channel Network: Pass 3	
Channel Network: Pass 4	
Channel Network: Pass 5	
Channel Network: Pass 6	
Channel Skeleton	Kanalgerüst
Channel definition threshold	
Channel side slope(m/m)	
Channels	
Channels (Raster)	
Channels (Vector)	
Charcoal to Environment	
Chart (bars):	Diagramm (Balken)
Chart (sectors):	Diagramm (Sektoren)
Chart Type	Diagrammtyp
Check Point Validity	
Chessboard	
Choose Attribute	Wähle Attribut
Choose Cut from ...	Wähle Zuschnitt von..
Choose Documentation Folder	Wähle Dokumentenordner
Choose Grid	Wähle Raster
Choose Grid Project	Wähle Rasterprojekt
Choose Grid System	
Choose ODBC Connection	Wähle ODBC Verbindung
Choose Shapes	
Choose Time Range	
Choose a flow routing algorithm that shall be used for the overland flow distance calculation:\n- D8\n- MFD	
Choose a method	
Choose case: Rook's case contiguity compares only cell wich share an edge. Queen's case contiguity compares also cells which share just corners.	
Choose if you want to segmentate either on minima or on maxima.	Wähle bei einer Aufteilung entweder minima oder maxima.
Choose method how to adjust input values.	Wähle Methode wie die Eingabewerte anzupassen sind
Choose the Point Data Record Format you like to use	
Choose the attributes to use for clustering:	
Choose whether the input file's NoData value or a user specified NoData value is written	
Choose whether to reclassify a Point Cloud or to extract a subset from a Point Cloud.	Wähle ob Punktwolken reklassifiziert oder eine Teilmenge einer Punktwolke ausgewählt werden soll
Choose which quantiles you would like to calculate	Wähle das zu berechnende Quantil
Circle	Kreis
Circle Point Distance [Degree]	Entfernung der Kreislinienpunkte [in Grad]
Circles	
Circular	rund
Class	Klasse
Class 1	Klasse 1
Class 2	Klasse 2
Class Identifier	Klassenidentifizierer
Class Information	Klassen Information
Class Selection	Klassenauswahl
Classes	Klassen
Classification	Einteilung
Classification Constant	
Classification Quality	Aufteilungsqualität
Classification and segmentation tools for metric gridded data.	Einteilungs- und Aufteilungswerkzeuge für metrische gerasterte Daten
Classify	
Clay	Kleie
Clay-Loam	Kleie-Lehm
Clear	Löschen
Clear Fast Representativeness	
Clear Generalisation	
Clear RGA	
Climate Data	
Climate Data (P, EP)	
Clip Grid with Polygon	Schneide Rasterdaten mit Polygon zu
Clip Points with Polygons	Schneide Punkte mit Polygon aus
Clipped Points	Ausgeschnittene Punkte
Clipping Options	Ausschneide Optionen
Close	Schließen
Close Gaps	Schließe Lücken
Close Gaps with Spline	Schließe Lücken mit Spline
Close One Cell Gaps	Schließe Einzellenlücken
Closed Gaps Grid	Raster mit geschlossenen Lücken
Closest Point	nächstgelegener Punkt (Pf.)
Closing Gaps...	
Closing Pt. X	
Closing Pt. Y	
Cluster	Gruppe
Cluster Analysis	Gruppenanalyse
Cluster Analysis PC	
Cluster Analysis for Grids	Gruppenanalyse für Raster
Cluster Analysis for Point Clouds	
ClusterID	GruppenID
Clusters	Gruppen
Coefficient of Determination	
Collect values	Sammele Werte
Color	Farbe
Color Attribute	Farbattribute
Color Blending	Farbe Mischung
Color Palette	
Color Palette Rotation	Farbe Palettenwechsel
Color Stretch	
Color Triangle Composite	Farbe Dreiecksgemisch
Colors	Farben
Colors Value Range	Farbwertebereich
Colors file could not be exported.	Farbdatei konnte nicht erstellt werden.
Colors file could not be imported.	Farbdatei konnte nicht geladen werden.
Cols	Spalten
Columns	Spalten
Combination A	
Combination B	
Combine Grids	Verbinde Raster
Combined Minimum Distance / Hillclimbing	kombinierte Minimalentfernung / Bergsteigeralgorithmus
Combined Shading	
Command Line Arguments	
Comment	
Commit	
Compare with...	Vergleiche mit..
Complete Intersection	Komplette Schnittmenge
CompleteLinkage	
Completed Grid	Vervollständigtes Raster
Completely contain	vollkommen umschlossen
Composite	Gemisch
Compound Probability	
CompuServe Graphics Interchange	
CompuServe Graphics Interchange (*.gif)	
Computed flow directions, 0=N, 1=NE, 2=E, ... 7=NW	
Concentration time (h)	
Condition	Bedingung
Cone (Down)	Kegel (abwärts)
Cone (Up)	Kegel (aufwärts)
Cone (down)	Kegel (abwärts)
Cone (up)	Kegel (aufwärts)
Confirm file caching	Dateipufferaktivierung jedesmal bestätigen
Connectivity Index (Pff).	Konnektivität Index
Connectivity Weighting	Konnektivität Gewichtung
Connectivity [Percent]	Konnektivität [Prozent]
Constant Variation Range [Degree]	
Constant variation range	
Constraints	Einschränkungen
Contain the center of	das Zentrum enthaltend
Contour Lines	Isolinien
Contour Lines from Grid	Isolinien von Rasterdaten
Contributions - A. Perego	
Contributions - T. Wutzler	
Contributions from Alessandro Perego.	
Contributions from Thomas Wutzler.	
Contributions|A. Perego	
Contributions|T. Wutzler	
Control Points	
Convergence	Annäherung
Convergence (FD8)	
Convergence Index	
Convergence Index (Search Radius)	
Convergence factor for Multiple Flow Direction Algorithm (Freeman 1991)	
Convergence factor for Multiple Flow Direction Algorithm (Freeman 1991).\nApplies also to the Multiple Triangular Flow Directon Algorithm.	
Convergence factor for Multiple Flow Direction algorithm	
Convergence factor for the \'Multiple Flow Direction\' algorithm (after Freeman 1991)	
Convergence_Radius Index	
Convert Data Storage Type	Wandle Datenspeichertyp um
Convert Lines to Polygons	Linien zu Polygonen umwandeln
Convert Points to Line	Punkte zu Linie umwandeln
Convert Polygon/Line Vertices to Points	Polygone/ Linienpunkte zu Punkten umwandeln
Convert Polygons to Lines	Polygone zu Linien umwandeln
Convert a Table to Points	Wandel eine Tabelle in Punkte um
Convert a shapes layer to a TIN\n\n	Wandelt eine Vektorebene in ein TIN um\n\n
Convert routes	
Convert track points	
Convert way points	
Converted Grid	Umgewandeltes Raster
Converts a TIN data set to shapes layers.\n\n	Wandelt einen TIN-Datensatz in eine Vektorebene um.\n\n
Conway's Life	
Coordenada X	
Coordenada X del punto de ignición (sólo si no se usa grid de puntos de ignición)	
Coordenada Y	
Coordenada Y del punto de ignición (sólo si no se usa grid de puntos de ignición)	
Coordinate Transformation (Grid List)	
Coordinate Transformation (Grid)	
Coordinate Transformation (Shapes List)	
Coordinate Transformation (Shapes)	
Coordinate Transformations based on the GeoTRANS-Engine of the National Imagery and Mapping Agency (NIMA).	
Coordinates	
Copy	Kopieren
Copy Rule	Kopierregel
Copy Settings from...	Kopiere Einstellungen von..
Copying original data...	Kopiere Originaldaten…
Copyright (c) 2007 by Thomas Schorr	
Copyrights (c) 2003 by Andre Ringeler	
Copyrights (c) 2003 by Olaf Conrad	
Copyrights (c) 2003 by Volker Wichmann	
Copyrights (c) 2004 by Thomas Wutzler	
Copyrights (c) 2004 by Victor Olaya	Copyrights (c) 2004 by Victor Olaya
Copyrights (c) 2005 by Victor Olaya	
Copyrights (c) 2005 by Volker Wichmann	
Copyrights (c) 2006 by Victor Olaya	
Copyrights (c) 2006 by Volker Wichmann	
Copyrights (c) 2007 by Gianluca Massei	
Copyrights (c) 2007 by Volker Wichmann	
Copyrights (c) 2008 by Olaf Conrad	
Copyrights (c) 2009 Johan Van de Wauw	
Core	Kern
Corrected Image	
Corrected Transformed Vegetation Index	korrigierter umgewandelter Vegetationsindex
Correlation	
Correlation Matrix of the Fit Parameters:\n	Korrelationsmatrix der geeigneten Parameter:\n
Cosine Correction (Civco 1989)	
Cosine Correction (Teillet et al. 1982)	
Cost Grid	Kostengitter
Could not create data source.	
Could not create dataset.	
Count	Zählen
Count Only Above Base Level	Zähle nur über Ausgangsniveau
Count Only Below Base Level	Zähle nur unter Ausgangsniveau
Count Points in Polygons	Zähle Punkte in Polygonen
Covariance	
Covariance Surface	
Covered Distance	zurückgelegte Entfernung
Create 3D Image	Erzeuge 3D Bild
Create Chart Layer (bars/sectors)	Erzeuge Diagrammebene (Balken/Sektoren)
Create Constant Grid	Erzeuge konstantes Raster
Create Empty Table	Erzeuge leere Tabelle
Create Grid System	Erzeuge Rastersystem
Create HTML Documentation	Erzeuge HTML Dokumentation
Create KML File	
Create Lookup Table	Nachschlagetabelle erstellen
Create New Shapes Layer	Erzeuge neue Vektorebene
Create Output of Quarter Cell Grids	
Create PDF Docs	Erzeuge PDF Dokumente
Create PDF Documents	
Create Point Grid	Erzeuge Punktraster
Create Quality Grid	
Create Reference Points	
Create Variance Grid	
Create Web Content	Erzeuge Web-Inhalt
Create X/Y Grids	
Create a grid with pseudo-random numbers as grid cell values. 	Erzeuge ein Raster mit Pseudo-Zufallszahlen als Rasterwerten
Create graticule	Erzeuge Gitternetz
Create index	Index erstellen
Creates a color animation based on the values of selected grids.\n	Erzeuge eine Farbanimation auf der Basis der Werte des ausgewählten Rasters.\n
Creating module documentation files	Dateien zur Moduldokumentation erstellen
Croke et al. (2005)	
Croke et al. (2005) !!! not yet implemented !!!	
Crop Coefficients	
Crop to Data	Auf Daten zuschneiden
Cross Profiles	
Cross Sections	
Cross hatch	Kreuzschraffur
Cross-Classification Grid	Kreuzeinteilung Raster
Cross-Classification and Tabulation	Kreuzeinteilung und Auflistung
Cross-Tabulation	Kreuzauflistung
Cross-Tabulation Table	Kreuzauflistungstabelle
Cross-diagonal hatch	diagonale Kreuzschraffur
Cubic Spline Approximation	kubische Spline-Angleichung
Cubic: a + b * x + c * x^2 + d * x^3	Kubisch: a + b * x + c * x^2 + d * x^3
Cum.Covar.	
Cum.Var.	
Cumulative Variance	
Currently no help files exist for SAGA.\nIt depends on your support, if you will find any help at this place in future!\nThanks a lot...	Zur Zeit existiert keine Programmhilfe für SAGA\nEs hängt auch von Deiner/Ihrer Unterstützung ab, ob hier in Zukunft eine Hilfe zur Verfügung stehen wird.\nVielen Dank im voraus...
Curvature	
Curvature Classification	
Curve Number	
Cut	Schnitt
Cut Shapes Layer	Schneide Vektorebene zu
Cuts	Schnitte
Cutting	Schneiden
Cycles	
Cylindrical Equal Area	
D	
D/A	
D/sqrt(A)	D/Quadratwurzel (A)
D8	
D8 Flow Analysis	
D8 Flow Network	
DBase	
DD_FAC(	
DECLINE	Abnahme
DEFAULT	
DEFAULT_BRIGHT	
DELAY(	
DEM	DGM
DEMON	
DEMON - Min. DQV	
DEMON - Minium Drainage Quota Volume (DQV) for traced flow tubes	
DESCRIPTION	BESCHREIBUNG
DIFF_MEAN	
DSN	
DTM Filter (slope-based)	DGM Filter (Neigungsbasiert)
DXF Files (*.dxf)|*.dxf|All Files|*.*	
Danger	
Data	Daten
Data Manager	
Data Offset (Bytes)	
Data Source Name	Name Datenquelle
Data Table	Datentabelle
Data Type	
Data completion...	Daten ausführen…
Data storage type	Datenspeichertyp
Database	
Database (ODBC)	
Database Connection Error	
Database access through the libmysql.lib interface.	
Database with Coordinate Reference System (CRS) definitions. You have to restart SAGA to make changes take affect!	
Date Column	
Datum Definition	
Datum Shift	
Datum Shift Grid	
Datum Shift Grid File	
Datums (3 Parameters)	
Datums (7 Parameters)	
Day of Month	
Day of Year	
Day of Year (End of Range)	
Day-Degree Factor	
Day-Degree Factor (lower bound)	
Day-Degree Factor (upper bound)	
Day-Degree Factor depends on catchment characteristics	
Dead Fuel Moisture 100H	
Dead Fuel Moisture 10H	
Dead Fuel Moisture 1H	
Dead after	
December	
Declination [Degree]	
Declination []	
Declination of the light source, measured in degree above the horizon.	
Deepen Drainage Routes	
Default	
Default Filter Matrix (3x3)	
Default Weight	
Define AOI by ...	Definiere AOI durch.. 
Degree	Grad
Delete Fields	Felder löschen
Delineated watershed basins	
Denormalisation	
Density Index (Pf).	Dichteindex (Pf.)
Density [Percent]	Dichte [Prozent]
Density from Neighbourhood	Dichte aus Nachbarschaft
Dependent Variable	
Dependent on chosen method, these are distances or probabilities.	Abhängig von der gewählten Methode sind dieses Entfernungen oder Wahrscheinlichkeiten.
Dependent on the chosen 'Initiation Grid' and 'Initiation Type' this value controls under which condition a channel is initiated.	
Depression-free digital elevation model	
Derivation of slope lengths from catchment areas. These are rough approximations! Applies not to Desmot & Govers' method.	
Description	Beschreibung
Descriptive name for the grid system	Anschaulicher Name für das Rastersystem
Desmot & Govers	
Desmot & Govers 1996	
Destination Points	Zielpunkte
Destriped Grid	
Destriping 1	
Destriping 2	
Details	
Detector type	
Deterministic 8	
Deterministic 8 (D8)	
Deterministic Infinity	
Deviation from Arithmetic Mean	
Deviation from Mean Value	
Dialog	
Dictionary Files (*.dic)	
Dictionary Files (*.lng)	
Dictionary for Proj.4/OGC WKT translations. You have to restart SAGA to make changes take affect!	
Dictionary for translations from built-in (English) to local language (editable text table)	
Difference	Differenz
Difference (A - B)	Differenz (A-B)
Difference (B - A)	Differenz (B-A)
Difference A - B	Differenz A - B
Difference from Arithmetic Mean	
Difference from Mean Value	
Difference from all neighbour's mean	
Difference to left neighbour	
Difference to left neighbour (using a while loop)	
Difference to local gradient.	
Diffuse Insolation	
Digital Elevation Model that has to be processed	
Digital Terrain Model	
Digital elevation model	
Dilation	
Dim01	
Dim02	
Dirección del viento	
Dirección del viento (grados desde el norte en sentido antihorario)	
Dirección del viento (grados desde el norte)	
Direct Insolation	
Direct to Diffuse Ratio	
Direction	Richtung
Direction [Degree]	
Direction of Minimum Standard Deviation	Richtung der minimalen Standardabweichung
Direction of Plane [Degree]	Richtung der Fläche [Grad]
Direction of max cost	Richtung der maximalen Kosten
Direction of max cost for each cell. In degrees	Richtung der maximalen Kosten für jede Zelle. In Grad
Direction of the light source, measured in degree clockwise from the north direction.	
Directional Average 1	
Directional Statistics	
Directional Statistics for Points	
Directional Statistics for Single Grid	
Directory, where temporary cache files shall be saved.	Verzeichnis, in dem temporäre Dateipuffer gespeichert werden sollen.
Display Range	Anzeigebereich
Dist.	
Distance	Entfernung
Distance (Grid Units).	Entfernung (Rastereinheiten).
Distance Grid	Distanzraster
Distance Matrix	Entfernungsmatrix
Distance Matrix Table	Distanzmatrixtabelle
Distance Overland	
Distance Threshold	Entfernungsschwellenwert
Distance Weighted (Inverse)	
Distance Weighted (Linear)	
Distance Weighted (inverse distance)	
Distance Weighting	Entfernungs Gewichtung
Distance X	Distanz X
Distance Y	Distanz Y
Distance between points (grid units).	Entfernung zwischen Punkten (in Rastereinheiten)
Distinct	
Diurnal Anisotropic Heating	
Divergence	Abweichung
Diversity	Diversität
Division	Division
Division by zero is not allowed !!!	
Dominance	Dominanz
Dot and dash style	Punkt-Strich-Stil
Dotted style	Gepunktet
Down	Ab
Down sort	Sortiere abwärts
Down-Scaling	herunterskalieren
Downslope Area	
Downslope Distance Gradient	
Downslope basins	
Drainage Network	
Draw a section each n points	
Driver	
Driver does not support file creation.	
Drop Point Cloud Attribute	Punktwolkenattribute fallenlassen
Dummy Grid	Attrappenraster
Duplicates	
Duration of Insolation	
Dust [ppm]	
Dust factor: 100 ppm (standard)	
ENUM_ID	
EPSG	
EPSG Code	
ERDAS files other than version 7.4 are not supported.	
ESRI Arc/Info ASCII Grids (*.asc)	
ESRI Arc/Info Binary Grids (*.flt)	
ESRI Arc/Info Grids	
ESRI E00 Files|*.e00;*.e0*|All Files|*.*	
ESRI Shape Files	ESRI Vektordateien [.shp]
ESRI Shapefiles	
ESRI WKT Files (*.prj)	
Each Line as new Profile	
East []	
Eccentricity (e)	
Eckert IV/VI	
